bench,[bentʃ],工作台 钳工台,,
vice,[vais],老虎钳,,
saw,[sɔ:],锯,,
plane,[plein],刨子,,
file,[‘fail],锉,,
square,[skwεə],直角尺 丁字尺,,
hammer,[‘hæmə],锤子,,
nail,[neil],钉子,,
brad,[bræd],平头钉 无头钉 曲头钉,,
screw,[skru:],螺丝钉,,
screwdriver,[‘skru: draivə],螺丝刀 改锥,,
ruler,[‘ru:lə],尺,,
sandpaper,[‘sænd peipə],砂纸,,
spanner,[‘spænə],扳手（英国）,,
wrench,[rentʃ],扳手（美国）,,
drill,[dril],钻 钻头,,
nut,[nʌt],螺母 螺帽,,
bolt,[bəult],螺栓,,
pin,[pin],大头针 针,,
spade,[speid],铁锹 铲子,,
fork,[fɔ:k],叉子,,
shovel,[‘ʃʌvəl],铁锹 铲,,
rake,[reik],耙子,,
roller,[‘rəulə],滚筒 滚轴,,
sickle,[‘sikl],镰刀,,
brush,[brʌʃ],刷子 毛笔 画笔,,
scissors,[‘sizəz],剪子 剪刀,,
pickaxe,['pikæks],丁字镐 鹤嘴锄,,
axe,[æks],斧子,,
lever,[‘li:və],杠杆,,
crank,[kræŋk],曲柄 曲轴,,
lathe,[leið],车床,,
clip,[klip],回形针 夹子,,
compass,[‘kʌmpəs],指南针 罗盘,,
ladder,[‘lædə],梯子,,
azalea,[ə’zeiljə],杜鹃花,,
begonia,[bi’gəunjə],秋海棠,,
cactus,[‘kæktəs],仙人掌,,
camellia,[kə’mi:liə],山茶花,,
canna,[‘kænə],美人蕉,,
carnation,[ka:'neiʃən],康乃馨,,
chrysanthemum,[kri'sænθəməm],菊花,,
dahlia,[‘deiljə],大丽花,,
daisy,[‘deizi],雏菊,,
datura,[də’tjuərə],曼陀罗,,
hawthorn,[‘hɔ:θɔ:n],山楂 山楂树,,
jasmine,[‘dʒæsmin],茉莉,,
lilac,[‘lailək],丁香花,,
lily,[‘lili],百合,,
morning glory,[],牵牛花,,
narcissus,[na:’sisəs],水仙花,,
orchid,[‘ɔ:kid],兰花,,
peony,[‘piəni],牡丹花 芍药花,,
poppy,[‘pɔpi],罂粟花,,
redbud,[‘redbʌd],紫荆,,
rose,[rəuz],玫瑰 月季,,
tulip,[‘tju:lip],郁金香,,
violet,[‘vaiələt],紫罗兰,,
sunflower,[‘sʌnflauə],向日葵,,
lotus,[‘ləutəs],荷花 莲花,,
dandelion,[‘dændilaiən],蒲公英,,
pine,[pain],松树,,
larch,[la:tʃ],落叶松,,
cypress,[‘saipris],柏树,,
bamboo,[bæm’bu:],竹 竹子,,
poplar,[‘pɔplə],白杨,,
willow,[‘wiləu],柳树,,
birch,[‘bə:tʃ],白桦,,
maple,[‘meipl],枫树,,
fir,[fə:],冷杉 枞树,,
eucalytus,[],桉树,,
locust,[‘ləukəst],洋槐,,
camphor tree,[],樟树,,
sandalwood,['sædəlwud],檀香木,,
elm,[elm],榆树 榆木,,
oak,[əuk],橡树,,
ginkgo,['giŋk(g)əu],银杏 银杏树,,
holly,[‘hɔli],冬青树,,
coco,[‘kəukəu],椰树,,
date,[‘deit],枣椰树,,
hickory,[‘hikəri],山核桃树,,
beech,[bi:tʃ],山毛榉,,
baobab,[‘beiəubæb],猴面包树,,
palm,[pa:m],棕榈树,,
laurel,[‘lɔrəl],月桂树,,
ivy,[‘aivi],常春藤,,
olive,[‘ɔliv],橄榄树,,
bitch,[bitʃ],母狗 雌狗,,
horse,[hɔ:s],马,,
mare,[mεə],母马 母驴,,
pony,[‘pəuni],矮种马 小马,,
mule,[mju:l],骡,,
equus,['ekwəs],马属（包括马 驴 斑马等）,,
ass,[æs],驴,,
donkey,[‘dɔŋki],驴,,
ox,[ɔks],牛 公牛,,
buffalo,[‘bʌfələu],水牛 野牛,,
bull,[bul],公牛,,
cow,[kau],奶牛 母牛,,
calf,[ka:f],小牛 犊,,
heifer,[‘hefə],小母牛,,
pig,[pig],猪,,
swine,[swain],猪,,
piglet,[‘piglit],小猪 尤指乳猪 猪崽,,
sheep,[ʃi:p],羊 绵羊,,
goat,[gəut],山羊,,
lamb,[læm],小羊 羔羊,,
dog,[dɔg],狗,,
cat,[kæt],猫,,
kitten,[‘kitən],小猫,,
kitty,[‘kiti:],小猫,,
rabbit,[‘ræbit],兔子 野兔,,
mouse,[maus],家鼠 老鼠,,
mice,[mais],老鼠（mouse 的复数）,,
cock,[kɔk],公鸡,,
hen,[hen],母鸡,,
chicken,[‘tʃikin],鸡 小鸡,,
turkey,[‘tə:ki],火鸡,,
goose,[gu:s],鹅,,
rooster,[‘ru:stə],公鸡,,
chick,[tʃik],雏鸡 小鸟,,
tomcat,[‘tɔmkæt],雄猫,,
zebra,[‘zi:brə],斑马,,
antelope,[‘æntiləup],羚羊,,
gazelle,[gə’zel],小羚羊 瞪羚,,
deer,[diə],鹿,,
reindeer,[‘rein’diə],驯鹿,,
giraffe,[dʒi’ra:f],长颈鹿,,
baboon,[bə’bu:n],狒狒,,
camel,[‘kæməl],骆驼,,
elephant,[‘elifənt],象,,
rhinoceros,[rai'nɔsərəs ri-],犀牛,,
hippopotamus,[,hipə’pɔtəməs],河马,
panda,[‘pændə],熊猫 猫熊,,
lion,[‘laiən],狮,,
lynx,[liŋks],猞猁,,
panther,[‘pænθə],豹 美洲豹 黑豹,,
puma,[‘pju:mə],美洲狮,,
leopard,[‘lepəd],豹 金钱豹,,
tiger,[‘taigə],虎,,
wildcat,[‘waildkæt],野猫,,
bison,[‘baisən],美洲野牛 欧洲野牛,,
yak,[jæk],牦牛,,
badger,[‘bædʒə],獾,,
weasel,[‘wi:zəl],黄鼠狼,,
otter,[‘ɔtə],水獭,,
fox,[fɔks],狐狸,,
hyena,[hai’i:nə],鬣狗 土狼,,
wolf,[wulf],狼,,
squirrel,['skwə:rəl 'skwi- 'skwʌ-],松鼠,,
beaver,[‘bi:və],河狸 海狸,,
marmot,[‘ma:mət],旱獭 土拨鼠,,
bear,[bεə],熊,,
hare,[hεə],野兔,,
rat,[ræt],鼠,,
gopher,['gəufə],黄鼠 囊地鼠,,
mole,[məul],鼹鼠,,
